filename,mode
20150312-1 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019511 001,train
ER_000000_H1_150305_ED,train
ER_000005_H1_150305_ED,train
20150319-1 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019606 001,train
20150320-1 IOTest Test 16-56-3-4-19-14-8-45 00019651 001,train
20150318-3 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019594 001,train
20150317-2 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019558 001,train
ER_000003_H1_150305_ED,train
20150318-3 VersaLyse VersaLyseFix 16-56-3-4-19-14-8-45 00019593 001,train
ER_000050_H1_150311_ED,train
20150312-2 IOTest Test 16-56-3-4-19-14-8-45 00019495 001,train
ER_000053_H1_150311_ED,train
20150319-2 Quick Quick 16-56-3-4-19-14-8-45 00019607 001,train
ER_000030_H1_150310_ED,train
ER_000004_H1_150305_ED,train
ER_000035_H1_150310_ED,train
ER_000040_H1_150310_ED,train
20150312-2 Quick Quick 16-56-3-4-19-14-8-45 00019494 001,train
20150317-1 Quick Quick 16-56-3-4-19-14-8-45 00019545 001,train
ER_000044_H1_150310_ED,train
20150312-1 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019512 001,train
20150317-2 IOTest Test 16-56-3-4-19-14-8-45 00019554 001,train
20150319-1 Quick Quick 16-56-3-4-19-14-8-45 00019600 001,train
ER_000007_H1_150305_ED,train
ER_000032_H1_150310_ED,train
20150312-2 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019496 001,train
ER_000015_H1_150306_ED,train
ER_000042_H1_150310_ED,train
ER_000045_H1_150311_ED,train
20150320-1 VersaLyseFix VersaLyseFix 16-56-3-4-19-14-8-45 00019654 001,train
20150319-3 VersaLyse VersaLyse 16-56-3-4-19-14-8-45 00019638 001,train
ER_000018_H1_150306_ED,train
20150319-3 Facslysing FacsLysing 16-56-3-4-19-14-8-45 00019637 001,train
ER_000019_H1_150306_ED,train
20150320-3 IOTest Test 16-56-3-4-19-14-8-45 00019661 001,train
ER_000056_H1_150311_ED,train
ER_000014_H1_150305_ED,train
ER_000033_H1_150310_ED,train
